player_name,team,position,born,gp,g,a,p,shots,toi_seconds
Dylan Strome,WSH,F,1997,14,3,10,13,25,1094
Noah Hanifin,TOT,D,1997,30,3,10,13,76,1392
Brett Pesce,TOT,D,1994,36,3,10,13,72,1375
Ryan Lindgren,TOT,D,1998,47,3,10,13,47,1230
Brayden McNabb,VGK,D,1991,39,2,11,13,36,1207
Jordan Kyrou,STL,F,1998,19,10,2,12,50,986
Brock Boeser,VAN,F,1997,12,7,5,12,27,1218
Alexander Ovechkin,WSH,F,1985,20,6,6,12,57,1079
Mats Zuccarello,MIN,F,1987,18,4,8,12,32,1188
Quinton Byfield,LAK,F,2002,19,4,8,12,35,1017
Esa Lindell,DAL,D,1994,63,4,8,12,86,1383
J.T. Miller,VAN,F,1993,13,3,9,12,29,1286
Gabriel Vilardi,TOT,F,1999,21,3,9,12,43,1036
Jack Roslovic,TOT,F,1997,25,3,9,12,37,828
Shayne Gostisbehere,CAR,D,1993,30,3,9,12,48,1107
K'Andre Miller,NYR,D,2000,43,3,9,12,37,1381
Jacob Trouba,NYR,D,1994,43,2,10,12,90,1371
Pavel Zacha,BOS,F,1997,20,1,11,12,34,1072
Anthony DeAngelo,CAR,D,1995,23,1,11,12,44,1186
Bowen Byram,COL,D,2001,27,0,12,12,66,1201
Adam Lowry,WPG,F,1993,23,10,1,11,39,1014
Jack Hughes,NJD,F,2001,12,6,5,11,45,1183
Jordan Eberle,SEA,F,1990,14,6,5,11,31,1087
Evgeny Kuznetsov,TOT,F,1992,16,6,5,11,36,860
Matthew Boldy,MIN,F,2001,18,6,5,11,57,1184
Tom Wilson,WSH,F,1994,15,5,6,11,31,1110
Nico Hischier,NJD,F,1999,17,5,6,11,49,1266
Vladislav Namestnikov,TOT,F,1992,29,5,6,11,32,918
Alex Iafallo,TOT,F,1993,31,5,6,11,54,966
Nikita Zadorov,TOT,D,1995,25,4,7,11,42,1151
Radek Faksa,TOT,F,1994,41,4,7,11,37,816
Colton Parayko,STL,D,1993,19,3,8,11,39,1492
Josh Morrissey,WPG,D,1995,20,3,8,11,36,1278
Kailer Yamamoto,EDM,F,1998,26,3,8,11,28,933
Andrew Cogliano,COL,F,1987,31,3,8,11,20,558
Brayden Schenn,STL,F,1991,19,2,9,11,26,1086
Justin Faulk,STL,D,1992,19,2,9,11,41,1507
Samuel Girard,COL,D,1998,30,2,9,11,39,1207
Jesper Fast,CAR,F,1991,29,7,3,10,42,968
Barclay Goodrow,NYR,F,1993,32,7,3,10,24,809
J.T. Compher,COL,F,1995,27,6,4,10,41,960
Jaden Schwartz,SEA,F,1992,14,5,5,10,41,1095
Erik Haula,TOT,F,1991,24,5,5,10,41,1004
Oliver Ekman-Larsson,TOT,D,1991,37,4,6,10,39,1002
Drew Doughty,LAK,D,1989,17,3,7,10,22,1655
John Carlson,WSH,D,1990,20,3,7,10,39,1520
Vasili Podkolzin,TOT,F,2001,24,3,7,10,20,649
Logan O'Connor,COL,F,1996,31,3,7,10,40,718
Sidney Crosby,PIT,F,1987,6,2,8,10,22,1225
Cam Fowler,STL,D,1991,7,2,8,10,12,1397
Jake Walman,EDM,D,1996,22,2,8,10,38,1210
Jack Drury,TOT,F,2000,31,2,8,10,53,803
Zach Whitecloud,VGK,D,1996,39,2,8,10,31,1071
Quinn Hughes,VAN,D,1999,13,0,10,10,21,1465
Morgan Geekie,TOT,F,1998,26,6,3,9,33,839
Nikolaj Ehlers,WPG,F,1996,14,5,4,9,45,1023
Dawson Mercer,NJD,F,2001,17,5,4,9,24,1076
Eeli Tolvanen,TOT,F,1999,17,4,5,9,32,924
Seth Jones,FLA,D,1994,23,4,5,9,29,1530
Kaapo Kakko,NYR,F,2001,41,4,5,9,54,737
Patrick Maroon,TOT,F,1988,42,4,5,9,36,561
Trent Frederic,TOT,F,1998,44,4,5,9,53,697
Casey Mittelstadt,COL,F,1998,11,3,6,9,24,1044
Max Pacioretty,TOT,F,1988,15,3,6,9,19,798
Kasperi Kapanen,TOT,F,1996,19,3,6,9,46,861
Alex Killorn,TBL,F,1989,29,3,6,9,60,1162
Alexander Wennberg,TOT,F,1994,30,3,6,9,26,1065
Brandon Carlo,TOT,D,1996,40,3,6,9,54,1161
Jesper Bratt,NJD,F,1998,17,2,7,9,45,1179
Ryan Strome,NYR,F,1993,19,2,7,9,49,1097
John Klingberg,TOT,D,1992,30,2,7,9,36,1127
Gustav Nyquist,TOT,F,1989,18,1,8,9,16,944
Ryan McDonagh,TOT,D,1989,34,1,8,9,43,1331
Mason Appleton,WPG,F,1996,23,0,9,9,31,923
T.J. Oshie,WSH,F,1986,10,6,2,8,25,1167
Mikael Backlund,CGY,F,1989,12,5,3,8,33,1173
Connor McMichael,WSH,F,2001,18,5,3,8,32,864
Patrice Bergeron,BOS,F,1985,10,4,4,8,46,1115
Oliver Bjorkstrand,SEA,F,1995,14,4,4,8,36,1053
Dakota Joshua,TOT,F,1996,14,4,4,8,9,918
Timo Meier,NJD,F,1996,16,4,4,8,55,1105
Andrew Mangiapane,TOT,F,1996,22,4,4,8,39,815
Kyle Palmieri,NYI,F,1991,11,3,5,8,30,1068
Andre Burakovsky,COL,F,1995,12,3,5,8,13,744
Joel Eriksson Ek,MIN,F,1997,13,3,5,8,39,1113
Anthony Beauvillier,TOT,F,1997,16,3,5,8,30,781
Pierre-Luc Dubois,TOT,F,1998,20,3,5,8,30,1049
Bryan Rust,PIT,F,1992,7,2,6,8,25,1356
Alexandre Carrier,TOT,D,1996,15,2,6,8,20,1263
Nicolas Hague,VGK,D,1998,34,2,6,8,37,1063
Joel Kiviranta,TOT,F,1996,37,2,6,8,33,683
Nick Cousins,TOT,F,1993,41,2,6,8,37,718
Calle Järnkrok,TOT,F,1991,42,2,6,8,46,832
Dmitri Kulikov,TOT,D,1990,49,2,6,8,37,914
Matt Roy,TOT,D,1995,28,1,7,8,34,1311
Dylan Holloway,EDM,F,2001,26,5,2,7,29,671
Brady Tkachuk,OTT,F,1999,6,4,3,7,22,1097
Mathew Barzal,NYI,F,1997,11,4,3,7,29,1136
Tyler Toffoli,TOT,F,1992,17,4,3,7,41,943
Marcus Foligno,MIN,F,1991,18,4,3,7,20,924
Filip Forsberg,NSH,F,1994,10,3,4,7,30,1217
Matthew Beniers,SEA,F,2002,14,3,4,7,22,1067
William Carrier,TOT,F,1994,40,3,4,7,48,644
Pierre Engvall,TOT,F,1996,18,2,5,7,33,931
Brandon Saad,TOT,F,1992,20,2,5,7,36,941
Carson Soucy,TOT,D,1994,26,2,5,7,20,940
Alec Martinez,VGK,D,1987,28,2,5,7,38,1134
Ian Cole,TOT,D,1989,33,2,5,7,14,974
Jalen Chatfield,CAR,D,1996,35,2,5,7,39,1092
Derek Ryan,EDM,F,1986,45,2,5,7,42,613
Ryan Pulock,NYI,D,1994,11,1,6,7,14,1439
Mike Matheson,TOT,D,1994,12,1,6,7,28,1503
Vince Dunn,SEA,D,1996,14,1,6,7,27,1389
Dylan Demelo,WPG,D,1993,22,1,6,7,27,1359
Alex Newhook,TOT,F,2001,24,1,6,7,19,677
Jake McCabe,TOR,D,1993,31,1,6,7,31,1289
Ilya Lyubushkin,TOT,D,1994,28,0,7,7,18,967
Tomas Nosek,TOT,F,1992,30,0,7,7,30,699
Tomas Hertl,VGK,F,1993,18,4,2,6,42,1103
Yakov Trenin,TOT,F,1997,20,4,2,6,21,671
Andrei Kuzmenko,LAK,F,1996,6,3,3,6,17,1095
Evgeni Malkin,PIT,F,1986,7,3,3,6,22,1238
Rasmus Andersson,CGY,D,1996,12,3,3,6,23,1316
Cole Perfetti,WPG,F,2002,14,3,3,6,31,953
Jackson Blake,CAR,F,2003,15,3,3,6,26,1014
Marcus Johansson,TOT,F,1990,17,3,3,6,28,995
David Kämpf,TOR,F,1995,26,3,3,6,45,884
Nicklas Bäckström,WSH,F,1987,6,2,4,6,16,1079
Blake Wheeler,TOT,F,1986,6,2,4,6,10,993
Michael Mcleod,NJD,F,1998,12,2,4,6,19,886
Alexei Toropchenko,STL,F,1999,19,2,4,6,17,645
Jesper Boqvist,TOT,F,1998,27,2,4,6,14,585
Erik Johnson,COL,D,1988,29,2,4,6,42,969
Keegan Kolesar,VGK,F,1997,39,2,4,6,22,627
Patrick Kane,NYR,F,1988,7,1,5,6,23,1041
Jake Neighbours,STL,F,2002,7,1,5,6,8,1071
Elias Pettersson,VAN,F,1998,13,1,5,6,22,1147
Nick Leddy,STL,D,1991,16,1,5,6,10,1098
Tyson Barrie,TOT,D,1991,17,1,5,6,28,1096
Dougie Hamilton,NJD,D,1993,17,1,5,6,33,1325
Jared Spurgeon,MIN,D,1989,18,1,5,6,28,1350
Michael Anderson,LAK,D,1999,24,1,5,6,26,1317
Christopher Tanev,TOT,D,1989,40,1,5,6,24,1251
Braden Schneider,NYR,D,2001,43,1,5,6,32,848
Jonathan Drouin,COL,F,1995,10,0,6,6,13,1050
Miles Wood,TOT,F,1995,20,5,0,5,36,757
Jeff Carter,PIT,F,1985,7,4,1,5,23,1046
Brandon Duhaime,TOT,F,1997,33,4,1,5,29,614
Jakob Chychrun,WSH,D,1998,10,3,2,5,18,1432
Tye Kartye,SEA,F,2001,10,3,2,5,13,740
Klim Kostin,EDM,F,1999,12,3,2,5,10,464
Conor Garland,VAN,F,1996,13,3,2,5,24,905
Carl Grundström,LAK,F,1997,17,3,2,5,24,618
Philip Broberg,TOT,D,2001,27,3,2,5,17,839
Pierre-Edouard Bellemare,TBL,F,1985,29,3,2,5,22,650
Luke Glendening,TOT,F,1989,33,3,2,5,24,651
Tim Stützle,OTT,F,2002,6,2,3,5,14,1201
Michael Stone,CGY,D,1990,9,2,3,5,24,781
Roman Josi,NSH,D,1990,10,2,3,5,34,1551
Casey Cizikas,NYI,F,1991,11,2,3,5,12,899
Anders Lee,NYI,F,1990,11,2,3,5,31,1001
Bo Horvat,NYI,F,1995,11,2,3,5,28,1248
Blake Coleman,CGY,F,1991,12,2,3,5,33,888
Michael Bunting,TOR,F,1995,13,2,3,5,15,889
Trevor Lewis,TOT,F,1987,19,2,3,5,25,663
Eric Staal,FLA,F,1984,21,2,3,5,14,698
Darren Helm,COL,F,1987,21,2,3,5,29,685
Steven Lorentz,TOT,F,1996,34,2,3,5,26,548
Jonathan Huberdeau,FLA,F,1993,10,1,4,5,25,1247
James van Riemsdyk,BOS,F,1989,11,1,4,5,16,705
Jason Zucker,TOT,F,1992,11,1,4,5,26,843
Alex Laferriere,LAK,F,2001,11,1,4,5,20,955
Duncan Keith,EDM,D,1983,16,1,4,5,21,1179
Brendan Smith,TOT,D,1989,17,1,4,5,17,736
Jan Rutta,TBL,D,1990,17,1,4,5,11,788
Teodors Blueger,TOT,F,1994,26,1,4,5,18,771
Lane Hutson,MTL,D,2004,5,0,5,5,5,1490
Vladislav Gavrikov,LAK,D,1995,17,0,5,5,17,1252
Jacob Middleton,MIN,D,1996,18,0,5,5,23,1188
T.J. Brodie,TOR,D,1990,19,0,5,5,14,1368
John Marino,TOT,D,1997,19,0,5,5,16,1374
Radko Gudas,FLA,D,1990,31,0,5,5,28,974
Zach Bogosian,TOT,D,1990,33,0,5,5,28,760
Paul Stastny,CAR,F,1985,15,4,0,4,13,738
Frederick Gaudreau,MIN,F,1993,18,4,0,4,30,956
Ty Dellandrea,DAL,F,2000,22,4,0,4,34,854
Cole Caufield,MTL,F,2001,5,3,1,4,24,1174
Nathan Walker,STL,F,1994,11,3,1,4,13,739
Danton Heinen,TOT,F,1995,15,3,1,4,28,924
Alexander Kerfoot,TOR,F,1994,18,3,1,4,25,880
Jimmy Snuggerud,STL,F,2004,7,2,2,4,12,1025
Victor Olofsson,VGK,F,1995,9,2,2,4,14,861
Troy Stecher,TOT,D,1994,12,2,2,4,16,907
